timestamps,TP9,AF7,AF8,TP10,Right AUX
1741724766.791,-1000.000,-999.023,280.762,-1000.000,0.000
1741724766.795,-937.500,-940.430,245.605,-931.641,0.000
1741724766.799,-1000.000,-1000.000,609.375,-1000.000,0.000
1741724766.802,-219.238,-187.988,601.562,-323.730,0.000
1741724766.806,999.512,999.512,95.703,999.512,0.000
1741724766.810,953.613,949.707,5.859,971.680,0.000
1741724766.814,942.383,945.312,399.414,934.570,0.000
1741724766.818,976.562,976.562,737.305,979.980,0.000
1741724766.822,969.727,970.215,383.301,970.215,0.000
1741724766.826,969.727,970.215,273.438,970.215,0.000
1741724766.830,969.727,970.703,554.688,970.703,0.000
1741724766.834,969.727,970.215,574.219,970.215,0.000
1741724766.838,969.727,970.215,449.707,970.215,0.000
1741724766.842,969.727,970.215,286.133,970.215,0.000
1741724766.845,969.727,970.703,441.895,970.215,0.000
1741724766.849,969.727,971.191,906.250,970.215,0.000
1741724766.853,969.727,967.285,708.008,970.703,0.000
1741724766.857,969.727,979.004,328.613,970.703,0.000
1741724766.861,983.887,956.055,310.547,983.887,0.000
1741724766.865,910.645,869.629,424.805,902.832,0.000
1741724766.869,999.512,999.512,369.629,999.512,0.000
1741724766.873,780.273,805.664,295.898,587.891,0.000
1741724766.877,-642.090,-610.840,253.906,-829.590,0.000
1741724766.881,-1000.000,-1000.000,438.477,-1000.000,0.000
1741724766.885,-934.082,-933.594,437.012,-944.336,0.000
1741724766.888,-1000.000,-1000.000,-191.895,-1000.000,0.000
1741724766.892,-1000.000,-1000.000,-97.656,-1000.000,0.000
1741724766.896,-1000.000,-1000.000,209.961,-1000.000,0.000
1741724766.900,-1000.000,-1000.000,-179.688,-1000.000,0.000
1741724766.904,-1000.000,-1000.000,-503.418,-1000.000,0.000
1741724766.908,-1000.000,-1000.000,-659.180,-1000.000,0.000
1741724766.912,-1000.000,-1000.000,-741.211,-1000.000,0.000
1741724766.916,-1000.000,-1000.000,-534.180,-1000.000,0.000
1741724766.920,-928.223,-937.500,-500.000,-928.711,0.000
1741724766.924,-1000.000,-1000.000,-977.539,-1000.000,0.000
1741724766.927,-396.484,-219.238,-770.020,-388.184,0.000
1741724766.931,973.633,999.512,-371.094,975.586,0.000
1741724766.935,983.398,954.102,-481.934,983.398,0.000
1741724766.939,928.223,943.359,-318.359,929.688,0.000
1741724766.943,981.445,977.539,127.441,981.934,0.000
1741724766.947,969.727,970.703,158.691,970.703,0.000
1741724766.951,969.727,970.703,-33.203,970.215,0.000
1741724766.955,969.727,970.703,-397.949,970.215,0.000
1741724766.959,969.727,970.703,-603.027,970.215,0.000
1741724766.963,969.727,970.703,-405.273,970.703,0.000
1741724766.967,969.727,985.352,-441.895,970.215,0.000
1741724766.970,969.727,899.414,-602.539,970.703,0.000
1741724766.974,969.727,999.512,-593.750,970.703,0.000
1741724766.978,969.727,734.863,-387.695,970.215,0.000
1741724766.982,969.727,-719.238,-396.484,970.703,0.000
1741724766.986,969.727,183.594,-136.230,970.215,0.000
1741724766.990,974.609,999.512,48.340,974.609,0.000
1741724766.994,948.242,835.449,-121.094,950.684,0.000
1741724766.998,942.871,999.512,-171.875,940.430,0.000
1741724767.002,999.512,784.668,-384.766,999.512,0.000
1741724767.006,-145.996,-626.953,-495.605,-116.699,0.000
1741724767.009,-1000.000,-1000.000,-365.723,-1000.000,0.000
1741724767.013,-943.848,-935.059,-303.711,-947.266,0.000
1741724767.017,-996.582,-1000.000,-508.789,-994.629,0.000
1741724767.021,-1000.000,-1000.000,-812.988,-1000.000,0.000
1741724767.025,-1000.000,-1000.000,-718.750,-1000.000,0.000
1741724767.029,-1000.000,-1000.000,-616.699,-1000.000,0.000
1741724767.033,-1000.000,-1000.000,-349.609,-1000.000,0.000
1741724767.037,-1000.000,-1000.000,-462.891,-1000.000,0.000
1741724767.041,-1000.000,-1000.000,-752.441,-1000.000,0.000
1741724767.045,-1000.000,-1000.000,-806.641,-1000.000,0.000
1741724767.049,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1741724767.052,-1000.000,-1000.000,-956.055,-1000.000,0.000
1741724767.056,-1000.000,-1000.000,-947.754,-1000.000,0.000
1741724767.060,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1741724767.064,-1000.000,-1000.000,-881.348,-1000.000,0.000
1741724767.068,-1000.000,-1000.000,-719.727,-1000.000,0.000
1741724767.072,-927.246,-937.988,-711.426,-927.246,0.000
1741724767.076,-1000.000,-1000.000,-926.270,-1000.000,0.000
1741724767.080,-555.176,-342.285,-989.258,-638.672,0.000
1741724767.084,878.418,967.285,-616.211,826.660,0.000
1741724767.088,999.512,981.445,-195.312,999.512,0.000
1741724767.092,915.527,932.617,-243.652,909.668,0.000
1741724767.095,985.352,981.445,-567.871,987.305,0.000
1741724767.099,969.727,970.215,-651.367,970.703,0.000
1741724767.103,969.727,970.703,-509.766,970.703,0.000
1741724767.107,969.727,970.703,-264.160,970.703,0.000
1741724767.111,970.215,970.215,-342.773,970.215,0.000
1741724767.115,969.727,970.703,-158.691,970.703,0.000
1741724767.119,969.727,970.703,23.926,970.703,0.000
1741724767.123,969.727,970.703,-54.199,970.703,0.000
1741724767.127,969.727,970.703,359.863,970.215,0.000
1741724767.131,969.727,970.703,301.758,970.215,0.000
1741724767.134,969.727,970.703,72.754,970.703,0.000
1741724767.138,969.727,970.703,257.324,970.703,0.000
1741724767.142,969.727,970.703,423.828,970.703,0.000
1741724767.146,970.703,975.098,468.262,970.703,0.000
1741724767.150,977.051,954.102,98.633,979.492,0.000
1741724767.154,904.297,937.012,133.301,902.344,0.000
1741724767.158,999.512,999.512,71.289,999.512,0.000
1741724767.162,372.070,-40.039,-169.922,425.293,0.000
1741724767.166,-974.121,-1000.000,-71.289,-949.707,0.000
1741724767.170,-1000.000,-960.449,-142.578,-1000.000,0.000
1741724767.174,-957.520,-988.281,68.848,-953.613,0.000
1741724767.177,-1000.000,-1000.000,-173.340,-1000.000,0.000
1741724767.181,-1000.000,-1000.000,-729.492,-1000.000,0.000
1741724767.185,-1000.000,-1000.000,-599.609,-1000.000,0.000
1741724767.189,-1000.000,-1000.000,-333.008,-1000.000,0.000
1741724767.193,-1000.000,-1000.000,-478.027,-1000.000,0.000
1741724767.197,-1000.000,-1000.000,-854.492,-1000.000,0.000
1741724767.201,-1000.000,-1000.000,-479.004,-1000.000,0.000
1741724767.205,-1000.000,-1000.000,-338.867,-1000.000,0.000
